"Step","transformer only - Validation Accuracy","transformer only - Validation Accuracy__MIN","transformer only - Validation Accuracy__MAX"
"1","0.4508670520231214","0.4508670520231214","0.4508670520231214"
"3","0.4508670520231214","0.4508670520231214","0.4508670520231214"
"5","0.45664739884393063","0.45664739884393063","0.45664739884393063"
"7","0.4624277456647399","0.4624277456647399","0.4624277456647399"
"9","0.3988439306358382","0.3988439306358382","0.3988439306358382"
"11","0.4046242774566474","0.4046242774566474","0.4046242774566474"
"13","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"15","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"17","0.4393063583815029","0.4393063583815029","0.4393063583815029"
"19","0.4393063583815029","0.4393063583815029","0.4393063583815029"
"21","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"23","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"25","0.4393063583815029","0.4393063583815029","0.4393063583815029"
"27","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"29","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"31","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"33","0.44508670520231214","0.44508670520231214","0.44508670520231214"
"35","0.45664739884393063","0.45664739884393063","0.45664739884393063"
"37","0.4393063583815029","0.4393063583815029","0.4393063583815029"
"39","0.43352601156069365","0.43352601156069365","0.43352601156069365"
"41","0.4508670520231214","0.4508670520231214","0.4508670520231214"
"43","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"45","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"47","0.49710982658959535","0.49710982658959535","0.49710982658959535"
"49","0.49710982658959535","0.49710982658959535","0.49710982658959535"
"51","0.4913294797687861","0.4913294797687861","0.4913294797687861"
"53","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"55","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"57","0.4913294797687861","0.4913294797687861","0.4913294797687861"
"59","0.49710982658959535","0.49710982658959535","0.49710982658959535"
"61","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"63","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"65","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"67","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"69","0.47398843930635837","0.47398843930635837","0.47398843930635837"
"71","0.48554913294797686","0.48554913294797686","0.48554913294797686"
"73","0.4913294797687861","0.4913294797687861","0.4913294797687861"
"75","0.4797687861271676","0.4797687861271676","0.4797687861271676"
"77","0.5144508670520231","0.5144508670520231","0.5144508670520231"
"79","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"81","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"83","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"85","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"87","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"89","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"91","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"93","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"95","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"97","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"99","0.5086705202312138","0.5086705202312138","0.5086705202312138"
"101","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"103","0.5202312138728323","0.5202312138728323","0.5202312138728323"
"105","0.5260115606936416","0.5260115606936416","0.5260115606936416"
"107","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"109","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"111","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"113","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"115","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"117","0.5317919075144508","0.5317919075144508","0.5317919075144508"
"119","0.5549132947976878","0.5549132947976878","0.5549132947976878"
"121","0.5491329479768786","0.5491329479768786","0.5491329479768786"
"123","0.5433526011560693","0.5433526011560693","0.5433526011560693"
"125","0.5375722543352601","0.5375722543352601","0.5375722543352601"
"127","0.5606936416184971","0.5606936416184971","0.5606936416184971"
